S.No,State,Population
1,Delhi,18498192
2,Haryana,27793351
3,Kerala,35461849
4,Himachal Pradesh,7384022
5,Punjab,29875481
6,Goa,1564349
7,Telengana,38919054
8,Uttarakhand,11140566
9,Chandigarh,1142479
10,Lakshadweep,72172
11,Dadra and Nagar Haveli and Daman and Diu,607223
12,Gujarat,64801901
13,Chattisgarh,28989789
15,Andaman and Nicobar Islands,411278
16,Tamil Nadu,77177540
17,Maharashtra,121924973
18,Karnataka,66834193
19,Odisha,45861035
20,West Bengal,98662146
21,Pondicherry,1394026
22,Andhra Pradesh,53390841
23,Jharkhand,37933898
24,Tripura,4112223
25,Madhya Pradesh,83849671
26,Mizoram,1222134
27,Uttar Pradesh,233378519
28,Rajasthan,79584255
29,Sikkim,680721
30,Bihar,122256981
31,Manipur,3048861
32,Arunachal Pradesh,1548776
33,Jammu and Kashmir,13468313
34,Ladakh,279924
35,Nagaland,2218634
36,Meghalaya,3320226
37,Assam,35080827
